tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Ausable River,04275500,2024-05-26,2024,-1.9832229159625197,-1.851146847729906,-1.6376643592293147,-0.023912157405411305,0,-1.9593107585571083,Spring
Ausable River,04275500,2024-05-27,2024,-1.9935884314343535,-1.8823400136404669,-1.6487042934502891,-0.010365515471833842,0,-1.9832229159625197,Spring
Ausable River,04275500,2024-05-28,2024,-1.4802550040602462,-1.9066914612686834,-1.6584025661333348,0.5133334273741073,1,-1.9935884314343535,Spring
Ausable River,04275500,2024-05-29,2024,-1.6019886007933348,-1.8542763505641022,-1.6526769032909003,-0.12173359673308859,-1,-1.4802550040602462,Spring
Ausable River,04275500,2024-05-30,2024,-1.736106954855786,-1.8278297873367284,-1.6610592771650055,-0.1341183540624511,-1,-1.6019886007933348,Spring
Ausable River,04275500,2024-05-31,2024,-1.862400745549052,-1.809565841799316,-1.672316136721822,-0.12629379069326618,-1,-1.736106954855786,Summer
Ausable River,04275500,2024-06-01,2024,-1.9311608759431336,-1.8024104873160571,-1.6882201785458106,-0.06876013039408146,-1,-1.862400745549052,Summer
Ausable River,04275500,2024-06-02,2024,-1.9720995156006151,-1.7983890755140608,-1.7044831598170125,-0.04093863965748157,0,-1.9311608759431336,Summer
Ausable River,04275500,2024-06-03,2024,-2.0117982657921374,-1.796800018319503,-1.7202198415951664,-0.03969875019152225,0,-1.9720995156006151,Summer
Ausable River,04275500,2024-06-04,2024,-2.049487388906196,-1.799401423227758,-1.7353627728191765,-0.03768912311405881,0,-2.0117982657921374,Summer
Ausable River,04275500,2024-06-05,2024,-2.0615855105294645,-1.880720335348608,-1.7515034926570965,-0.012098121623268288,0,-2.049487388906196,Summer
Ausable River,04275500,2024-06-06,2024,-1.9925406758431596,-1.9463770367394835,-1.7708811762060703,0.06904483468630485,1,-2.0615855105294645,Summer
Ausable River,04275500,2024-06-07,2024,-1.6019886007933348,-1.9830104254519656,-1.786491567338159,0.3905520750498248,1,-1.9925406758431596,Summer
Ausable River,04275500,2024-06-08,2024,-1.6700722876226852,-1.945808690486863,-1.7857639527549698,-0.0680836868293504,-1,-1.6019886007933348,Summer
Ausable River,04275500,2024-06-09,2024,-1.7806420766136166,-1.908510320726799,-1.7871557776918698,-0.1105697889909314,-1,-1.6700722876226852,Summer
Ausable River,04275500,2024-06-10,2024,-1.8161007258960828,-1.8811592580143706,-1.7905733466497205,-0.035458649282466226,0,-1.7806420766136166,Summer
Ausable River,04275500,2024-06-11,2024,-1.8710164281051604,-1.8532024666006486,-1.7935647040821683,-0.0549157022090776,-1,-1.8161007258960828,Summer
Ausable River,04275500,2024-06-12,2024,-1.89709822946131,-1.8277066150576435,-1.799033376469973,-0.02608180135614946,0,-1.8710164281051604,Summer
Ausable River,04275500,2024-06-13,2024,-1.9348104308811673,-1.804208432047907,-1.8087277374929298,-0.03771220141985743,0,-1.89709822946131,Summer
Ausable River,04275500,2024-06-14,2024,-1.9203926925267387,-1.7959612541961938,-1.8203786549459526,0.01441773835442861,0,-1.9348104308811673,Summer
Ausable River,04275500,2024-06-15,2024,-1.9284436961814206,-1.8414475530152516,-1.8323460530340083,-0.00805100365468192,0,-1.9203926925267387,Summer
Ausable River,04275500,2024-06-16,2024,-1.988374749588957,-1.8783577542379282,-1.8454594492012983,-0.05993105340753635,-1,-1.9284436961814206,Summer
Ausable River,04275500,2024-06-17,2024,-2.020639171229545,-1.9080338503772625,-1.8580523151024217,-0.03226442164058785,0,-1.988374749588957,Summer
Ausable River,04275500,2024-06-18,2024,-2.0530815706495944,-1.9372536282820427,-1.8687947302759786,-0.03244239942004956,0,-2.020639171229545,Summer
Ausable River,04275500,2024-06-19,2024,-2.075294652512482,-1.963262934359819,-1.878401757478012,-0.022213081862887396,0,-2.0530815706495944,Summer
Ausable River,04275500,2024-06-20,2024,-2.049487388906196,-1.988719566224272,-1.8868073026272,0.025807263606285602,0,-2.075294652512482,Summer
